"","state","county","x2010_census_population","population_estimate_2011","population_estimate_2012","population_estimate_2013","population_estimate_2014","population_estimate_2015","population_estimate_2016","population_estimate_2018","pct_black_pop_2018","pct_white_pop_2018","pct_white_pop_2010","pct_black_pop_2010"
"57","North Carolina","113","33,922","33,848","33,820","33,773","33,838","34,150","34,376",34410,0.0142109851787271,0.938041267073525,0.937768999469371,0.0131772890749366
"58","North Carolina","115","20,764","20,828","20,890","21,140","21,178","21,104","21,340",21405,0.016958654519972,0.956318617145527,0.964891157773069,0.0115584665767675
"59","North Carolina","117","24,505","24,238","23,888","23,703","23,455","23,334","23,172",23054,0.419927127613429,0.544851218877418,0.531279330748827,0.43464599061416
"60","North Carolina","119","919,628","945,113","968,367","991,322","1,010,878","1,033,466","1,054,835",1054314,0.313152438457613,0.544861398027533,0.553425950493025,0.307519997216266
"61","North Carolina","121","15,579","15,375","15,380","15,344","15,283","15,183","15,126",15040,0.00352393617021277,0.964228723404255,0.952821105334104,0.00372296039540407
"62","North Carolina","123","27,798","27,835","27,616","27,486","27,346","27,508","27,418",27338,0.18004243177994,0.763150193869339,0.68933016763796,0.188179005683862
"63","North Carolina","125","88,247","89,389","90,376","91,638","93,126","94,436","95,776",95629,0.126739796505244,0.826276547909107,0.803574059174816,0.134157535100343
"64","North Carolina","127","95,840","95,685","95,240","94,461","94,299","93,919","94,005",94003,0.391700264885163,0.5289192898099,0.558545492487479,0.371974123539232
"65","North Carolina","129","202,667","205,979","209,189","213,186","216,423","219,868","223,483",224231,0.140212548666331,0.810329526247486,0.790942778054641,0.14756719150133
"66","North Carolina","131","22,099","21,956","21,312","20,811","20,584","20,433","20,000",20186,0.565144159318339,0.399732487862875,0.392234942757591,0.583510566088963
"67","North Carolina","133","177,772","177,898","183,807","185,545","185,252","187,033","187,136",193912,0.141708610091175,0.744925533231569,0.74021780707873,0.155660058951916
"68","North Carolina","135","133,801","134,689","137,551","139,114","139,876","140,696","141,796",142938,0.115833438273937,0.745323147098742,0.743604307890076,0.119042458576543
"69","North Carolina","137","13,144","13,298","13,041","12,900","12,915","12,784","12,821",12742,0.182388949929367,0.761183487678543,0.763237979306147,0.200243457090688
"70","North Carolina","139","40,661","40,383","40,546","39,774","39,690","39,673","39,864",39479,0.365206818815066,0.585045213911193,0.567103612798505,0.377634588426256
"71","North Carolina","141","52,217","53,286","53,884","54,993","56,144","57,680","59,090",59020,0.148898678414097,0.768654693324297,0.761361242507229,0.177509240285731
"72","North Carolina","143","13,453","13,466","13,543","13,596","13,468","13,410","13,335",13459,0.245040493350175,0.735790177576343,0.720582769642459,0.248792090983424
"73","North Carolina","145","39,464","39,518","39,167","39,222","39,111","39,198","39,284",39305,0.267065258872917,0.68177076707798,0.683356983579972,0.269764848976282
"74","North Carolina","147","168,148","170,756","172,913","174,332","175,105","176,182","177,220",177372,0.34769298423652,0.575891346999526,0.589213074196541,0.34051549825154
"75","North Carolina","149","20,510","20,285","20,246","20,378","20,317","20,344","20,334",20458,0.0519112327695767,0.904145077720207,0.908483666504144,0.0447586543149683
"76","North Carolina","151","141,752","141,835","142,251","142,276","142,444","142,553","143,416",142958,0.0626267854894444,0.844129044894305,0.854795699531576,0.0576781985439359
"77","North Carolina","153","46,639","46,636","46,357","46,132","45,687","45,436","44,939",45189,0.317577286507778,0.624244838345615,0.601899697677909,0.30594566778876
"78","North Carolina","155","134,168","135,103","135,412","135,074","134,869","134,292","133,235",133442,0.240493997392125,0.285794577419403,0.289763579989267,0.243254725418878
"79","North Carolina","157","93,643","93,204","92,684","91,939","91,798","91,675","91,393",91270,0.184704722252657,0.756765640407582,0.75686383392245,0.188535181487137
"80","North Carolina","159","138,428","137,996","137,832","138,126","138,558","139,021","139,933",139605,0.160445542781419,0.773525303534974,0.765184789204496,0.161759181668449
"81","North Carolina","161","67,810","67,367","67,204","66,830","66,587","66,462","66,421",66532,0.0970209823844165,0.862893043948777,0.858590178439758,0.101076537383867
"82","North Carolina","163","63,431","63,700","63,912","64,046","63,913","63,568","63,124",63561,0.252198675288306,0.644451786472837,0.567309359776765,0.270025697214296
"83","North Carolina","165","36,157","36,324","36,156","35,992","35,743","35,418","35,244",35262,0.390335205036583,0.443820543361125,0.465248776170589,0.385623807284896
"84","North Carolina","167","60,585","60,480","60,485","60,595","60,595","60,586","60,791",61114,0.111823804692869,0.839611218378768,0.835569860526533,0.109433027977222
"85","North Carolina","169","47,401","47,196","46,773","46,593","46,429","46,372","46,097",45905,0.0427622263370003,0.929746215009258,0.928693487479167,0.040421088162697
"86","North Carolina","171","73,673","73,632","73,485","72,890","72,798","72,548","72,113",72099,0.0377120348409825,0.913882300725391,0.881272650767581,0.0373135341305499
"87","North Carolina","173","13,981","14,016","14,098","14,017","14,282","14,428","14,346",14254,0.00420934474533464,0.647467377578224,0.666261354695658,0.00543594878764037
"88","North Carolina","175","33,090","32,799","32,820","32,827","32,979","33,202","33,482",33513,0.0454450511741712,0.911526870169785,0.92405560592324,0.0390450287095799
"89","North Carolina","177","4,407","4,340","4,138","4,101","4,120","4,140","4,141",4119,0.376304928380675,0.546491866958,0.545268890401634,0.381892443839347
"90","North Carolina","179","201,292","205,122","208,362","212,549","218,168","222,384","226,606",226694,0.114330330754233,0.8153457965363,0.789668739939988,0.117033960614431
"91","North Carolina","181","45,422","45,250","45,057","44,510","44,378","44,351","44,244",44482,0.500854278134976,0.436491164965604,0.441592180000881,0.49854695962309
"92","North Carolina","183","900,993","929,208","952,296","973,920","997,897","1,021,974","1,046,791",1046558,0.203139243118872,0.657592794665943,0.663208260219558,0.2070049378852
"93","North Carolina","185","20,972","20,994","20,663","20,521","20,318","20,213","19,907",20033,0.507263016023561,0.400589028103629,0.38756437154301,0.523078390234599
"94","North Carolina","187","13,228","12,954","12,716","12,726","12,531","12,347","12,195",12156,0.473428759460349,0.466436327739388,0.45993347444814,0.497958875113396
"95","North Carolina","189","51,079","51,583","52,062","52,311","52,407","53,024","53,922",54117,0.0166306336271412,0.939150359406471,0.945045909277785,0.017169482566221
"96","North Carolina","191","122,623","124,042","124,551","124,634","124,583","124,319","124,150",124002,0.305277334236545,0.624973790745311,0.588266475294194,0.313962307234369
"97","North Carolina","193","69,340","69,189","69,279","69,073","68,827","68,519","68,740",68460,0.0412941863862109,0.91262050832603,0.906028266512835,0.0408133833285261
"98","North Carolina","195","81,234","81,444","81,755","81,603","81,379","81,686","81,661",81336,0.39458542342874,0.511384872627127,0.519757736908191,0.390058349951991
"99","North Carolina","197","38,406","38,317","38,125","38,048","37,826","37,563","37,532",37665,0.0377273330678349,0.916261781494756,0.885460605113784,0.0310368171639848
"100","North Carolina","199","17,818","17,678","17,616","17,566","17,573","17,564","17,678",17667,0.00730174902360333,0.961453557480048,0.952239308564373,0.00813783814120552
